title,index_movie
ed wood,"[1006, 2794, 7767, 7651, 12720]"
french kiss,"[5351, 4537, 8949, 4691, 2761]"
forget paris,"[10469, 10227, 210, 10, 10729]"
far from home: the adventures of yellow dog,"[14854, 1096, 9509, 8596, 5981]"
a goofy movie,"[6941, 19874, 7661, 17873, 3117]"
fluke,"[2563, 12276, 14901, 2164, 4797]"
farinelli,"[11748, 3938, 7945, 14000, 4943]"
the glass shield,"[20618, 5165, 10493, 9898, 17448]"
hoop dreams,"[10668, 10022, 19097, 19410, 17536]"
heavenly creatures,"[883, 3209, 14692, 11748, 20069]"
houseguest,"[13354, 11841, 1515, 18686, 20361]"
immortal beloved,"[7250, 19828, 966, 16907, 1420]"
heavyweights,"[4659, 7785, 1434, 4896, 1379]"
the hunted,"[10552, 4964, 12396, 6636, 9222]"
i.q.,"[7330, 9362, 3843, 8261, 11427]"
interview with the vampire,"[9362, 4087, 15655, 2271, 20261]"
jefferson in paris,"[1982, 7842, 2164, 4611, 3192]"
just cause,"[2381, 1251, 3287, 11187, 9535]"
kiss of death,"[16468, 19441, 17946, 19498, 19499]"
star wars,"[855, 842, 672, 7966, 10776]"
little women,"[3634, 173, 5709, 12365, 1470]"
a little princess,"[9199, 17361, 2241, 19724, 5918]"
ladybird ladybird,"[12200, 4397, 6051, 4756, 8123]"
l'enfer,"[19465, 3676, 5117, 12279, 3142]"
like water for chocolate,"[17375, 15857, 11537, 7465, 11405]"
legends of the fall,"[163, 187, 10729, 9771, 76]"
major payne,"[2521, 1809, 408, 14408, 1409]"
little odessa,"[1757, 3790, 9136, 15677, 8005]"
mi vida loca,"[3154, 18225, 3037, 17794, 12372]"
losing isaiah,"[11453, 2411, 20329, 1254, 19041]"
the madness of king george,"[11373, 17940, 8701, 6891, 8235]"
mary shelley's frankenstein,"[8315, 5225, 150, 10469, 2466]"
man of the house,"[11083, 1121, 2335, 21038, 2843]"
mixed nuts,"[4903, 19440, 1500, 4515, 10764]"
milk money,"[1706, 5395, 6155, 5371, 6461]"
miracle on 34th street,"[4819, 3782, 5442, 2356, 7926]"
miami rhapsody,"[2919, 4589, 4448, 7950, 6475]"
my family,"[17946, 19441, 16468, 19090, 2919]"
murder in the first,"[9587, 6835, 16880, 6963, 7147]"
nobody's fool,"[14901, 1335, 7515, 1361, 6260]"
nell,"[3947, 11036, 4766, 4094, 5442]"
natural born killers,"[4307, 9134, 10112, 803, 1251]"
only you,"[20787, 1180, 12214, 3372, 7330]"
once were warriors,"[19394, 10007, 20087, 4262, 4720]"
outbreak,"[2058, 8229, 1181, 2799, 4219]"
leon: the professional,"[9609, 3415, 761, 14437, 16103]"
the perez family,"[15309, 2164, 6598, 19440, 9823]"
pulp fiction,"[14898, 14168, 17, 11329, 15622]"
panther,"[6891, 4537, 2761, 9193, 3018]"
pushing hands,"[183, 8571, 5196, 17872, 18272]"
priest,"[4532, 9493, 8752, 15759, 18798]"
quiz show,"[13917, 2197, 4839, 3033, 9280]"
picture bride,"[8226, 8015, 15610, 13973, 18554]"
queen margot,"[9579, 21309, 8905, 13937, 7115]"
the quick and the dead,"[7249, 11067, 8193, 6005, 9987]"
roommates,"[269, 9529, 3700, 15834, 2164]"
prêt-à-porter,"[4928, 5600, 13070, 6567, 17138]"
three colors: red,"[11840, 9436, 17153, 19061, 8045]"
three colors: blue,"[19067, 21716, 244, 15912, 11616]"
three colors: white,"[11703, 10805, 13121, 21720, 11787]"
rent-a-kid,"[17335, 6475, 16627, 2919, 5488]"
the swan princess,"[15069, 17252, 17817, 8596, 1431]"
the secret of roan inish,"[970, 1153, 10199, 14686, 8344]"
the specialist,"[4827, 13557, 19493, 10493, 1047]"
stargate,"[18763, 10599, 20820, 2776, 20448]"
the santa clause,"[4302, 15391, 269, 10821, 319]"
the shawshank redemption,"[2308, 8486, 332, 2591, 6010]"
shallow grave,"[2761, 7945, 11748, 1795, 11139]"
suture,"[6754, 8511, 874, 2933, 266]"
strawberry and chocolate,"[3639, 18151, 14226, 15872, 17458]"
swimming with sharks,"[10764, 19304, 3321, 2292, 17452]"
the sum of us,"[9331, 13424, 7923, 10940, 8698]"
senior trip,"[1299, 5989, 1639, 10878, 2851]"
to live,"[922, 4104, 8284, 2932, 342]"
tank girl,"[12720, 1830, 1722, 645, 8942]"
tales from the crypt: demon knight,"[970, 21270, 10231, 12396, 1279]"
star trek: generations,"[979, 1718, 992, 4394, 991]"
tales from the hood,"[5541, 5731, 260, 10698, 1591]"
village of the damned,"[15232, 9032, 1850, 3939, 3852]"
tommy boy,"[9450, 20440, 18114, 1688, 8917]"
vanya on 42nd street,"[4278, 8080, 9220, 10970, 7446]"
the underneath,"[123, 4839, 18165, 10776, 284]"
what's eating gilbert grape,"[15718, 12276, 15884, 5171, 822]"
virtuosity,"[990, 7200, 1170, 994, 261]"
while you were sleeping,"[240, 15935, 11444, 9529, 15834]"
the war,"[7850, 7860, 7889, 12365, 2612]"
muriel's wedding,"[16357, 3812, 577, 5240, 4943]"
the baby-sitters club,"[13354, 240, 2444, 2164, 2861]"
ace ventura: pet detective,"[17310, 15892, 19945, 20815, 9962]"
"the adventures of priscilla, queen of the desert","[14848, 4522, 271, 1632, 17170]"
backbeat,"[8064, 2510, 868, 11199, 7623]"
bitter moon,"[7802, 2023, 10633, 10399, 180]"
bullets over broadway,"[9504, 11964, 20016, 16864, 17311]"
clear and present danger,"[2391, 10514, 2577, 11406, 5660]"
the client,"[5920, 3370, 13756, 8282, 12281]"
"corrina, corrina","[19476, 4541, 13852, 14629, 2122]"
crooklyn,"[7991, 2510, 2508, 2192, 2509]"
the crow,"[12868, 17491, 9627, 8109, 4408]"
cobb,"[18662, 9193, 411, 2761, 180]"
forrest gump,"[1388, 20618, 7736, 123, 1056]"
four weddings and a funeral,"[271, 615, 9309, 142, 11636]"
higher learning,"[3702, 15177, 5025, 12283, 15192]"
i love trouble,"[16567, 7330, 269, 14050, 152]"
it could happen to you,"[5253, 10469, 3090, 2275, 2665]"
the jungle book,"[21801, 20621, 1946, 20586, 8531]"
the lion king,"[924, 2760, 6888, 7038, 755]"
little buddha,"[7753, 18073, 10816, 8712, 9710]"
new nightmare,"[4980, 12354, 8149, 326, 10912]"
the mask,"[9461, 21098, 13288, 11683, 5951]"
maverick,"[6439, 6327, 21494, 672, 2209]"
mrs. parker and the vicious circle,"[3205, 3410, 18041, 17645, 11975]"
the naked gun 33⅓: the final insult,"[3544, 8956, 16817, 12848, 5366]"
the paper,"[10514, 12852, 15693, 76, 4391]"
reality bites,"[1333, 1420, 3556, 12399, 20983]"
red rock west,"[15668, 2275, 16433, 9969, 13784]"
ri¢hie ri¢h,"[6203, 1434, 2164, 10471, 1845]"
the river wild,"[368, 13052, 8986, 2215, 12381]"
speed,"[2941, 935, 12339, 842, 14980]"
speechless,"[20618, 15709, 5391, 19440, 3493]"
timecop,"[13131, 2278, 9370, 16207, 3608]"
true lies,"[20540, 9434, 13696, 11065, 146]"
when a man loves a woman,"[11481, 4178, 4185, 8837, 21571]"
wolf,"[1017, 3368, 4056, 17491, 19155]"
wyatt earp,"[4492, 17489, 2164, 3603, 3655]"
s.f.w.,"[2164, 615, 142, 17491, 1044]"
a low down dirty shame,"[2705, 9953, 3135, 39, 20603]"
colonel chabert,"[11429, 10549, 8993, 11138, 13069]"
"faster, pussycat! kill! kill!","[3025, 4937, 5167, 20748, 14386]"
jason's lyric,"[12276, 7964, 17838, 2321, 2590]"
coldblooded,"[12353, 10670, 2117, 2164, 8109]"
fall time,"[10542, 21589, 4171, 12672, 16910]"
in the mouth of madness,"[17721, 6346, 4238, 1614, 9468]"
8 seconds,"[3422, 8005, 10783, 10946, 19655]"
above the rim,"[13195, 17842, 2241, 20618, 7067]"
addams family values,"[1515, 250, 269, 4077, 2479]"
the age of innocence,"[17198, 76, 1180, 9953, 7605]"
airheads,"[20618, 16866, 12018, 4142, 6681]"
the air up there,"[14623, 14829, 4955, 18532, 20717]"
barcelona,"[5212, 1276, 142, 6264, 11427]"
beverly hills cop iii,"[3008, 3007, 16064, 3019, 1775]"
black beauty,"[1472, 5379, 2933, 3290, 16103]"
blink,"[3606, 12354, 18554, 21656, 10007]"
blown away,"[5595, 15922, 12787, 7556, 1990]"
blue chips,"[15873, 3110, 14603, 4492, 938]"
blue sky,"[8305, 15807, 2164, 1223, 9555]"
body snatchers,"[3413, 6421, 1398, 1625, 2359]"
a bronx tale,"[5767, 11084, 9068, 11877, 758]"
carlito's way,"[3200, 935, 12366, 10424, 2740]"
clean slate,"[341, 303, 3100, 20618, 2431]"
cliffhanger,"[7793, 14596, 19493, 3354, 17972]"
color of night,"[4096, 14044, 9468, 304, 3963]"
the cowboy way,"[7370, 20877, 584, 10514, 21505]"
dangerous game,"[2164, 2718, 7520, 12393, 5133]"
dave,"[674, 1347, 8703, 2267, 672]"
dazed and confused,"[16513, 10718, 2164, 8028, 13932]"
demolition man,"[9222, 21270, 15648, 8937, 12503]"
fatal instinct,"[333, 14963, 4388, 7780, 3100]"
farewell my concubine,"[2932, 922, 6143, 258, 6773]"
fearless,"[1056, 3084, 284, 9350, 1487]"
fear of a black hat,"[19440, 15709, 3711, 5047, 19600]"
with honors,"[431, 9855, 5080, 12276, 6274]"
flesh and bone,"[17605, 9537, 17489, 2391, 3606]"
for love or money,"[16867, 1069, 15693, 21205, 1311]"
the firm,"[14901, 3033, 15800, 1420, 4611]"
free willy,"[131, 1434, 14079, 5085, 20618]"
fresh,"[11768, 17845, 14920, 15153, 5075]"
the fugitive,"[586, 3424, 19744, 44, 302]"
geronimo: an american legend,"[3023, 4200, 39, 8126, 10183]"
the getaway,"[7771, 6951, 2512, 3826, 18966]"
a good man in africa,"[1010, 21746, 2177, 16608, 10585]"
guilty as sin,"[19660, 15677, 13733, 21218, 3301]"
hard target,"[515, 3606, 12332, 21589, 5000]"
heaven & earth,"[3380, 8147, 16370, 3750, 12849]"
hot shots! part deux,"[4123, 21063, 18200, 18684, 8338]"
the englishman who went up a hill but came down a mountain,"[6891, 7022, 7006, 4532, 1174]"
the house of the spirits,"[6175, 2958, 21243, 13864, 180]"
the hudsucker proxy,"[4766, 10199, 4099, 10180, 3018]"
i'll do anything,"[4275, 3092, 12550, 2164, 20247]"
in the line of fire,"[8743, 5935, 7788, 5213, 5508]"
in the name of the father,"[8422, 4102, 855, 5171, 4307]"
what's love got to do with it,"[14341, 2164, 142, 14116, 3360]"
judgment night,"[10634, 1231, 11610, 10193, 13939]"
jurassic park,"[1094, 6620, 18418, 7991, 5264]"
kalifornia,"[8986, 301, 17491, 13963, 8245]"
killing zoe,"[10547, 21502, 10931, 3640, 21501]"
king of the hill,"[1540, 3711, 1989, 9358, 15299]"
lassie,"[3501, 18775, 13689, 2164, 10128]"
last action hero,"[2313, 12329, 17371, 5246, 13080]"
life with mikey,"[20618, 15966, 20918, 18345, 1388]"
lightning jack,"[4021, 3340, 9526, 11482, 18140]"
m. butterfly,"[2412, 635, 10227, 2079, 8827]"
made in america,"[8748, 7991, 806, 19440, 15709]"
malice,"[81, 2645, 1046, 1247, 1794]"
the man without a face,"[13954, 13228, 4839, 12631, 4762]"
manhattan murder mystery,"[3253, 17721, 8009, 401, 1178]"
menace ii society,"[318, 39, 365, 18493, 2241]"
executive decision,"[2933, 8385, 1402, 5379, 3412]"
in the realm of the senses,"[7468, 1895, 15212, 6395, 5842]"
much ado about nothing,"[12780, 13230, 571, 16342, 10199]"
mr. jones,"[7910, 5316, 16710, 4409, 7996]"
mr. wonderful,"[2989, 19440, 1956, 3545, 18115]"
mrs. doubtfire,"[13787, 3160, 1743, 12276, 6637]"
naked,"[13410, 11448, 7463, 4788, 9720]"
no escape,"[17491, 164, 1727, 2512, 353]"
orlando,"[10469, 9692, 8952, 5163, 2951]"
a perfect world,"[9478, 2477, 5083, 14917, 9685]"
philadelphia,"[1347, 14050, 12720, 8423, 6183]"
the piano,"[4262, 228, 1953, 835, 21656]"
poetic justice,"[5025, 905, 8499, 401, 7579]"
the program,"[14569, 6936, 15677, 2511, 1373]"
the puppet masters,"[1635, 9854, 10170, 8315, 2033]"
radioland murders,"[76, 9953, 15966, 4776, 20618]"
the ref,"[4766, 10199, 2032, 1689, 1021]"
the remains of the day,"[269, 4077, 11178, 15935, 21463]"
renaissance man,"[1010, 9080, 12753, 610, 17329]"
rising sun,"[4766, 16475, 15473, 11070, 6681]"
the road to wellville,"[1178, 4279, 2445, 10821, 13721]"
robin hood: men in tights,"[7579, 20384, 2219, 4094, 4747]"
romeo is bleeding,"[8216, 142, 10185, 3931, 3251]"
romper stomper,"[5193, 20935, 8462, 7945, 11748]"
ruby in paradise,"[4463, 16365, 15668, 17363, 15779]"
rudy,"[8778, 14603, 8291, 3990, 11877]"
savage nights,"[21309, 19624, 4520, 16291, 16528]"
schindler's list,"[9521, 18553, 4313, 21665, 7116]"
the scout,"[3582, 4275, 20618, 4766, 15574]"
searching for bobby fischer,"[3288, 12145, 3924, 1756, 343]"
second best,"[6891, 6175, 571, 1574, 3931]"
the secret garden,"[13954, 7926, 10214, 8748, 6771]"
serial mom,"[6764, 401, 5171, 2740, 10469]"
the shadow,"[13473, 4110, 15124, 5783, 17742]"
shadowlands,"[398, 1636, 6565, 21596, 10964]"
short cuts,"[1005, 1636, 6227, 10528, 12243]"
a simple twist of fate,"[7553, 12063, 4279, 14075, 14901]"
sirens,"[10376, 6208, 5294, 13495, 11724]"
six degrees of separation,"[2809, 7644, 885, 5541, 3386]"
sleepless in seattle,"[20081, 7, 15301, 11911, 10352]"
blade runner,"[19497, 2045, 2431, 4232, 21451]"
son in law,"[16665, 1808, 16563, 3606, 18915]"
so i married an axe murderer,"[3425, 713, 2665, 10881, 7736]"
striking distance,"[20081, 7, 4467, 2847, 19766]"
surviving the game,"[20768, 6163, 5213, 12037, 15789]"
thirty two short films about glenn gould,"[7428, 20579, 8607, 21119, 12875]"
threesome,"[20376, 7249, 1210, 2164, 11844]"
the nightmare before christmas,"[15391, 15766, 20480, 20120, 6581]"
the three musketeers,"[21702, 988, 7986, 3763, 7316]"
tombstone,"[10193, 1572, 3084, 844, 2740]"
trial by jury,"[2125, 3655, 9652, 1181, 345]"
true romance,"[12339, 3944, 15049, 5171, 2045]"
the war room,"[10668, 10088, 1951, 12196, 16452]"
the pagemaster,"[12671, 8184, 1524, 20249, 13696]"
welcome to the dollhouse,"[2164, 9850, 19440, 16206, 2563]"
germinal,"[8746, 21796, 8332, 20739, 3577]"
cronos,"[11271, 13253, 14029, 16306, 20410]"
kika,"[8354, 10597, 12862, 1282, 837]"
little big league,"[14303, 16342, 18879, 81, 3456]"
the slingshot,"[18110, 20622, 16125, 13998, 17447]"
"ciao, professore!","[17511, 13518, 18208, 4713, 17504]"
spanking the monkey,"[12861, 5342, 13495, 615, 12253]"
the little rascals,"[15286, 13939, 17058, 20815, 1264]"
the celluloid closet,"[20427, 19404, 13808, 16005, 9280]"
café au lait,"[919, 8436, 20677, 10328, 11596]"
dear diary,"[13719, 17962, 17458, 4089, 4746]"
i don't want to talk about it,"[17914, 17454, 9788, 7030, 9428]"
the brady bunch movie,"[575, 17335, 9953, 245, 5285]"
ghost,"[11945, 6998, 15289, 10519, 511]"
aladdin,"[1485, 755, 4351, 17873, 3223]"
terminator 2: judgment day,"[882, 9068, 18639, 13866, 989]"
dances with wolves,"[9350, 2431, 9536, 14980, 12438]"
batman,"[2229, 840, 996, 3635, 7697]"
the silence of the lambs,"[10776, 3707, 11121, 332, 2267]"
snow white and the seven dwarfs,"[15985, 9765, 3979, 12654, 12328]"
beauty and the beast,"[12706, 17015, 17873, 13169, 1321]"
pinocchio,"[20587, 722, 13753, 12811, 1471]"
pretty woman,"[8236, 3302, 3940, 3412, 2822]"
the wild bunch,"[7286, 10952, 3035, 11619, 3817]"
love and a .45,"[14531, 4224, 1716, 14596, 13256]"
bye bye love,"[751, 3179, 163, 15845, 3530]"
one fine day,"[16866, 2631, 12407, 321, 7341]"
fargo,"[3661, 403, 69, 4766, 1274]"
homeward bound ii: lost in san francisco,"[20618, 1388, 284, 5267, 19082]"
heavy metal,"[12503, 10424, 7239, 18461, 3939]"
jane eyre,"[7214, 4410, 508, 17281, 13964]"
bread and chocolate,"[16243, 18897, 17026, 17530, 19680]"
the aristocats,"[2928, 8227, 1471, 1478, 707]"
the flower of my secret,"[10338, 17957, 4075, 17740, 16610]"
two much,"[14825, 10366, 7330, 15247, 9362]"
halfaouine: boy of the terraces,"[12849, 19157, 11840, 7545, 18137]"
a thin line between love and hate,"[1057, 20969, 1666, 1721, 99]"
the last supper,"[10667, 3612, 5843, 21296, 9080]"
primal fear,"[1250, 17721, 5343, 5037, 2096]"
carried away,"[15246, 694, 4693, 5396, 5856]"
land and freedom,"[1795, 8462, 8645, 4537, 11139]"
a family thing,"[3378, 16030, 17589, 8293, 15320]"
sgt. bilko,"[4786, 1044, 3999, 17840, 2164]"
jack & sarah,"[8616, 8235, 1317, 418, 10409]"
girl 6,"[2761, 11748, 13306, 17214, 18250]"
diabolique,"[4219, 4192, 13245, 13247, 571]"
"little indian, big city","[16865, 12698, 9356, 13735, 10234]"
nelly and monsieur arnaud,"[3245, 5600, 11468, 11767, 21309]"
